match_id,season_id,match_date,home_team_id,away_team_id,full_time_home_goals,full_time_away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result
1,1,2015-08-08,3,2,0,1,A,0,0,D
2,1,2015-08-08,8,26,2,2,D,2,1,H
3,1,2015-08-08,10,28,2,2,D,0,1,A
4,1,2015-08-08,15,25,4,2,H,3,0,H
5,1,2015-08-08,18,27,1,0,H,1,0,H
6,1,2015-08-08,21,9,1,3,A,0,1,A
7,1,2015-08-09,1,30,0,2,A,0,1,A
8,1,2015-08-09,20,23,2,2,D,1,1,D
9,1,2015-08-09,24,16,0,1,A,0,0,D
10,1,2015-08-10,29,17,0,3,A,0,2,A
11,1,2015-08-14,2,18,0,1,A,0,1,A
12,1,2015-08-15,23,10,0,3,A,0,2,A
13,1,2015-08-15,25,21,1,3,A,0,2,A
14,1,2015-08-15,26,20,2,0,H,1,0,H
15,1,2015-08-15,27,24,2,2,D,2,0,H
16,1,2015-08-15,28,29,0,0,D,0,0,D
17,1,2015-08-15,30,15,1,2,A,0,2,A
18,1,2015-08-16,9,1,1,2,A,1,1,D
19,1,2015-08-16,17,8,3,0,H,1,0,H
20,1,2015-08-17,16,3,1,0,H,1,0,H
21,1,2015-08-22,9,2,2,1,H,0,0,D
22,1,2015-08-22,15,27,1,1,D,0,0,D
23,1,2015-08-22,18,20,0,0,D,0,0,D
24,1,2015-08-22,21,24,1,1,D,1,1,D
25,1,2015-08-22,25,26,1,1,D,0,1,A
26,1,2015-08-22,30,3,3,4,A,0,2,A
27,1,2015-08-23,10,17,0,2,A,0,0,D
28,1,2015-08-23,28,23,0,0,D,0,0,D
29,1,2015-08-23,29,8,2,3,A,1,3,A
30,1,2015-08-24,1,16,0,0,D,0,0,D
31,1,2015-08-29,2,25,2,2,D,2,1,H
32,1,2015-08-29,3,15,1,1,D,1,0,H
33,1,2015-08-29,8,9,1,2,A,0,0,D
34,1,2015-08-29,16,30,0,3,A,0,2,A
35,1,2015-08-29,17,28,2,0,H,0,0,D
36,1,2015-08-29,20,1,0,1,A,0,0,D
37,1,2015-08-29,24,29,0,1,A,0,1,A
38,1,2015-08-29,27,10,0,0,D,0,0,D
39,1,2015-08-30,23,21,3,0,H,1,0,H
40,1,2015-08-30,26,18,2,1,H,0,0,D
41,1,2015-09-12,1,24,2,0,H,1,0,H
42,1,2015-09-12,9,17,0,1,A,0,0,D
43,1,2015-09-12,10,8,3,1,H,2,1,H
44,1,2015-09-12,18,16,3,1,H,0,0,D
45,1,2015-09-12,21,3,3,1,H,1,0,H
46,1,2015-09-12,28,26,1,0,H,0,0,D
47,1,2015-09-12,29,23,0,0,D,0,0,D
48,1,2015-09-13,15,2,3,2,H,0,1,A
49,1,2015-09-13,25,27,0,1,A,0,0,D
50,1,2015-09-14,30,20,2,0,H,1,0,H
51,1,2015-09-19,2,29,0,1,A,0,1,A
52,1,2015-09-19,3,25,2,0,H,2,0,H
53,1,2015-09-19,8,1,2,0,H,0,0,D
54,1,2015-09-19,17,30,1,2,A,1,2,A
55,1,2015-09-19,20,28,1,2,A,0,2,A
56,1,2015-09-19,24,15,2,2,D,2,0,H
57,1,2015-09-19,26,10,0,0,D,0,0,D
58,1,2015-09-20,16,21,1,1,D,0,0,D
59,1,2015-09-20,23,18,2,3,A,1,1,D
60,1,2015-09-20,27,9,1,0,H,0,0,D
61,1,2015-09-26,15,1,2,5,A,1,2,A
62,1,2015-09-26,16,2,3,2,H,1,0,H
63,1,2015-09-26,18,25,3,0,H,1,0,H
64,1,2015-09-26,20,8,2,2,D,1,0,H
65,1,2015-09-26,23,26,3,1,H,1,0,H
66,1,2015-09-26,24,3,2,1,H,1,0,H
67,1,2015-09-26,27,17,4,1,H,1,1,D
68,1,2015-09-26,30,21,2,2,D,1,1,D
69,1,2015-09-27,28,9,0,1,A,0,0,D
70,1,2015-09-28,29,10,2,3,A,1,0,H
71,1,2015-10-03,2,24,0,1,A,0,0,D
72,1,2015-10-03,3,28,1,1,D,1,1,D
73,1,2015-10-03,8,23,1,3,A,1,1,D
74,1,2015-10-03,9,29,2,0,H,0,0,D
75,1,2015-10-03,17,20,6,1,H,1,1,D
76,1,2015-10-03,21,15,1,2,A,0,1,A
77,1,2015-10-03,25,30,2,2,D,2,1,H
78,1,2015-10-04,1,18,3,0,H,3,0,H
79,1,2015-10-04,10,16,1,1,D,1,1,D
80,1,2015-10-04,26,27,2,2,D,2,1,H
81,1,2015-10-17,8,2,2,0,H,1,0,H
82,1,2015-10-17,9,30,1,3,A,1,1,D
83,1,2015-10-17,10,18,0,3,A,0,2,A
84,1,2015-10-17,17,3,5,1,H,4,1,H
85,1,2015-10-17,23,15,2,2,D,2,0,H
86,1,2015-10-17,27,16,0,0,D,0,0,D
87,1,2015-10-17,28,1,0,3,A,0,0,D
88,1,2015-10-17,29,25,1,0,H,0,0,D
89,1,2015-10-18,20,21,6,2,H,3,2,H
90,1,2015-10-19,26,24,0,1,A,0,1,A
91,1,2015-10-24,1,10,2,1,H,2,1,H
92,1,2015-10-24,2,26,1,2,A,0,0,D
93,1,2015-10-24,15,9,1,0,H,0,0,D
94,1,2015-10-24,21,29,0,1,A,0,0,D
95,1,2015-10-24,24,28,0,2,A,0,1,A
96,1,2015-10-24,30,8,2,1,H,1,0,H
97,1,2015-10-25,3,27,1,5,A,1,3,A
98,1,2015-10-25,16,23,1,1,D,0,0,D
99,1,2015-10-25,18,17,0,0,D,0,0,D
100,1,2015-10-25,25,20,3,0,H,1,0,H
101,1,2015-10-31,8,16,1,3,A,1,1,D
102,1,2015-10-31,9,18,0,0,D,0,0,D
103,1,2015-10-31,17,21,2,1,H,0,0,D
104,1,2015-10-31,20,24,0,0,D,0,0,D
105,1,2015-10-31,26,1,0,3,A,0,0,D
106,1,2015-10-31,28,30,2,0,H,1,0,H
107,1,2015-10-31,29,15,2,3,A,1,0,H
108,1,2015-11-01,10,25,6,2,H,2,1,H
109,1,2015-11-01,23,3,2,0,H,2,0,H
110,1,2015-11-02,27,2,3,1,H,2,0,H
111,1,2015-11-07,3,20,0,1,A,0,1,A
112,1,2015-11-07,15,28,2,1,H,0,0,D
113,1,2015-11-07,18,29,2,0,H,0,0,D
114,1,2015-11-07,21,26,1,0,H,0,0,D
115,1,2015-11-07,24,8,1,0,H,0,0,D
116,1,2015-11-07,25,23,0,1,A,0,0,D
117,1,2015-11-07,30,10,1,1,D,1,1,D
118,1,2015-11-08,1,27,1,1,D,0,1,A
119,1,2015-11-08,2,17,0,0,D,0,0,D
120,1,2015-11-08,16,9,1,2,A,1,1,D
121,1,2015-11-21,8,21,1,0,H,0,0,D
122,1,2015-11-21,10,2,4,0,H,3,0,H
123,1,2015-11-21,17,16,1,4,A,1,3,A
124,1,2015-11-21,20,15,0,3,A,0,1,A
125,1,2015-11-21,23,24,0,1,A,0,1,A
126,1,2015-11-21,26,3,2,2,D,2,2,D
127,1,2015-11-21,28,18,1,2,A,0,1,A
128,1,2015-11-21,29,1,2,1,H,2,1,H
129,1,2015-11-22,27,30,4,1,H,2,0,H
130,1,2015-11-23,9,25,0,1,A,0,0,D
131,1,2015-11-28,2,28,2,3,A,1,1,D
132,1,2015-11-28,3,10,3,3,D,0,2,A
133,1,2015-11-28,9,20,5,1,H,3,1,H
134,1,2015-11-28,15,18,1,1,D,1,1,D
135,1,2015-11-28,17,23,3,1,H,2,0,H
136,1,2015-11-28,25,24,2,0,H,0,0,D
137,1,2015-11-29,16,26,1,0,H,0,0,D
138,1,2015-11-29,21,1,1,1,D,1,1,D
139,1,2015-11-29,27,8,0,0,D,0,0,D
140,1,2015-11-29,30,29,1,1,D,1,0,H
141,1,2015-12-05,1,25,3,1,H,1,1,D
142,1,2015-12-05,8,3,0,1,A,0,0,D
143,1,2015-12-05,18,30,0,0,D,0,0,D
144,1,2015-12-05,23,2,1,1,D,0,1,A
145,1,2015-12-05,24,17,2,0,H,2,0,H
146,1,2015-12-05,26,15,0,3,A,0,2,A
147,1,2015-12-05,28,21,2,0,H,1,0,H
148,1,2015-12-05,29,27,1,1,D,1,1,D
149,1,2015-12-06,20,16,2,0,H,0,0,D
150,1,2015-12-07,10,9,1,1,D,0,0,D
151,1,2015-12-12,3,18,2,1,H,1,1,D
152,1,2015-12-12,9,23,1,0,H,1,0,H
153,1,2015-12-12,17,26,2,1,H,1,0,H
154,1,2015-12-12,21,10,1,1,D,0,1,A
155,1,2015-12-12,25,28,0,1,A,0,1,A
