match_id,team_id,is_home,goals,shots,shots_on_target,corners,fouls,yellow_cards,red_cards
1,3,true,0,11,2,6,13,3,0
1,2,false,1,7,3,3,13,4,0
2,8,true,2,11,3,4,15,1,1
2,26,false,2,18,10,8,16,3,0
3,10,true,2,10,5,8,7,1,0
3,28,false,2,11,5,2,13,2,0
4,15,true,4,19,8,6,13,2,0
4,25,false,2,10,5,3,17,4,0
5,18,true,1,9,1,1,12,2,0
5,27,false,0,9,4,2,12,3,0
6,21,true,1,17,6,1,14,1,0
6,9,false,3,11,7,4,20,0,0
7,1,true,0,22,6,5,12,1,0
7,30,false,2,8,4,4,9,3,0
8,20,true,2,9,4,6,9,2,0
8,23,false,2,15,5,6,12,4,0
9,24,true,0,7,1,3,9,2,0
9,16,false,1,8,3,5,16,4,0
10,29,true,0,9,2,6,12,4,0
10,17,false,3,19,7,6,9,1,0
11,2,true,0,5,1,3,14,2,0
11,18,false,1,9,2,5,10,2,0
12,23,true,0,17,4,9,11,4,0
12,10,false,3,10,4,9,10,2,0
13,25,true,1,6,2,6,7,1,0
13,21,false,3,19,6,6,7,2,0
14,26,true,2,19,6,4,11,2,0
14,20,false,0,4,2,4,8,1,1
15,27,true,2,13,7,4,15,2,0
15,24,false,2,16,7,3,11,2,0
16,28,true,0,16,5,2,13,1,0
16,29,false,0,6,0,4,10,2,0
17,30,true,1,10,3,8,11,1,1
17,15,false,2,11,6,4,12,3,0
18,9,true,1,11,4,6,14,1,0
18,1,false,2,20,7,6,12,1,0
19,17,true,3,18,8,5,19,4,0
19,8,false,0,10,3,1,13,2,0
20,16,true,1,18,2,6,11,1,0
20,3,false,0,13,2,8,18,4,0
21,9,true,2,16,6,6,12,3,0
21,2,false,1,11,2,4,15,3,0
22,15,true,1,13,2,2,7,1,0
22,27,false,1,19,6,7,14,4,0
23,18,true,0,20,8,11,15,2,0
23,20,false,0,7,0,5,11,2,0
24,21,true,1,21,7,9,16,4,0
24,24,false,1,6,1,0,5,1,0
25,25,true,1,10,2,3,16,4,0
25,26,false,1,20,9,4,9,2,0
26,30,true,3,10,4,5,8,0,1
26,3,false,4,15,7,4,11,0,0
27,10,true,0,10,1,8,5,0,0
27,17,false,2,16,9,7,7,3,0
