player_id,player_name,normalized_player_name
1,Aaron Connolly,aaron connolly
2,Aaron Cresswell,aaron cresswell
3,Aaron Lennon,aaron lennon
4,Aaron Mooy,aaron mooy
5,Aaron O'Driscoll,aaron o driscoll
6,Aaron Pressley,aaron pressley
7,Aaron Ramsdale,aaron ramsdale
8,Aaron Ramsey,aaron ramsey
9,Aaron Rowe,aaron rowe
10,Aaron Tshibola,aaron tshibola
11,Aaron Wan-Bissaka,aaron wan bissaka
12,Abdallah Sima,abdallah sima
13,Abdelhamid Sabiri,abdelhamid sabiri
14,Abdoulaye Doucouré,abdoulaye doucoure
15,Abdul Baba,abdul baba
16,Abdul Rahman Baba,abdul rahman baba
17,Abel Hernández,abel hernandez
18,Aboubakar Kamara,aboubakar kamara
19,Abu Kamara,abu kamara
20,Achraf Lazaar,achraf lazaar
21,Adalberto Peñaranda,adalberto penaranda
22,Adam Armstrong,adam armstrong
23,Adam Bogdan,adam bogdan
24,Adam Clayton,adam clayton
25,Adam Federici,adam federici
26,Adam Forshaw,adam forshaw
27,Adam Idah,adam idah
28,Adam Lallana,adam lallana
29,Adam Leathers,adam leathers
30,Adam Legzdins,adam legzdins
31,Adam Lewis,adam lewis
32,Adam Masina,adam masina
33,Adam Matthews,adam matthews
34,Adam Parkes,adam parkes
35,Adam Reach,adam reach
36,Adam Smith,adam smith
37,Adam Webster,adam webster
38,Adama Diakhaby,adama diakhaby
39,Adama Diomande,adama diomande
40,Adama Traoré,adama traore
41,Ademipo Odubeko,ademipo odubeko
42,Ademola Lookman,ademola lookman
43,Adil Nabi,adil nabi
44,Adlène Guédioura,adlene guedioura
45,Admiral Muskwe,admiral muskwe
46,Adnan Januzaj,adnan januzaj
47,Adnan Maric,adnan maric
48,Adrián,adrian
49,Adrián Bernabé,adrian bernabe
50,Adrian Blake,adrian blake
51,Adrian Mariappa,adrian mariappa
52,Adrien Silva,adrien silva
53,Ahmed El Mohamady,ahmed el mohamady
54,Ahmed Hegazi,ahmed hegazi
55,Ahmed Musa,ahmed musa
56,Aiden McGeady,aiden mcgeady
57,Aiden O'Neill,aiden o neill
58,Ainsley Maitland-Niles,ainsley maitland niles
59,Ajibola Alese,ajibola alese
60,Akin Famewo,akin famewo
61,Akos Onodi,akos onodi
62,Alan Hutton,alan hutton
63,Albert Adomah,albert adomah
64,Albert Sambi Lokonga,albert sambi lokonga
65,Alberto Moreno,alberto moreno
66,Alberto Paloschi,alberto paloschi
67,Albian Ajeti,albian ajeti
68,Aleix García,aleix garcia
69,Alejandro Garnacho,alejandro garnacho
70,Aleksandar Dragovic,aleksandar dragovic
71,Aleksandar Kolarov,aleksandar kolarov
72,Aleksandar Mitrovic,aleksandar mitrovic
73,Aleksandar Tonev,aleksandar tonev
74,Ales Mateju,ales mateju
75,Alessandro Diamanti,alessandro diamanti
76,Alex Baptiste,alex baptiste
77,Alex Bruce,alex bruce
78,Alex Cochrane,alex cochrane
79,Alex Denny,alex denny
80,Alex Gilbert,alex gilbert
81,Alex Iwobi,alex iwobi
82,Alex Kirk,alex kirk
83,Alex Král,alex kral
84,Alex McCarthy,alex mccarthy
85,Alex Oxlade-Chamberlain,alex oxlade chamberlain
86,Alex Pike,alex pike
87,Alex Pritchard,alex pritchard
88,Alex Smithies,alex smithies
89,Alex Telles,alex telles
90,Alexander Manninger,alexander manninger
91,Alexander Sørloth,alexander s rloth
92,Alexander Tettey,alexander tettey
93,Alexandre Jankewitz,alexandre jankewitz
94,Alexandre Lacazette,alexandre lacazette
95,Alexandre Pato,alexandre pato
96,Alexandre Song,alexandre song
97,Alexis Mac Allister,alexis mac allister
98,Alexis Sánchez,alexis sanchez
99,Alfie Devine,alfie devine
100,Alfie Mawson,alfie mawson
101,Alfie McCalmont,alfie mccalmont
102,Alfie Payne,alfie payne
103,Alfie Whiteman,alfie whiteman
104,Alfred N'Diaye,alfred n diaye
105,Ali Gabr,ali gabr
106,Ali Koiki,ali koiki
107,Alireza Jahanbakhsh,alireza jahanbakhsh
108,Alisson,alisson
109,Alisson Becker,alisson becker
110,Allan,allan
111,Allan McGregor,allan mcgregor
112,Allan-Roméo Nyom,allan romeo nyom
113,Allan Saint-Maximin,allan saint maximin
114,Allan Tchaptchet,allan tchaptchet
115,Almen Abdi,almen abdi
116,Alpha Richard Dionkou,alpha richard dionkou
117,Alphonse Areola,alphonse areola
118,Álvaro Arbeloa,alvaro arbeloa
119,Álvaro Fernández,alvaro fernandez
120,Álvaro Morata,alvaro morata
121,Álvaro Negredo,alvaro negredo
122,Aly Cissokho,aly cissokho
123,Amad Diallo,amad diallo
124,Ander Herrera,ander herrera
125,Anders Lindegaard,anders lindegaard
126,Andi Janjeva,andi janjeva
127,Andi Zeqiri,andi zeqiri
128,André-Frank Zambo Anguissa,andre frank zambo anguissa
129,André Gomes,andre gomes
130,Andre Gray,andre gray
131,Andre Green,andre green
132,Andre Olukanmi,andre olukanmi
133,André Schürrle,andre schurrle
134,Andre Wisdom,andre wisdom
135,Andrea Ranocchia,andrea ranocchia
136,Andreas Christensen,andreas christensen
137,Andreas Pereira,andreas pereira
138,Andreas Söndergaard,andreas sondergaard
139,Andrej Kramaric,andrej kramaric
140,Andrew Crofts,andrew crofts
141,Andrew Eleftheriou,andrew eleftheriou
142,Andrew Moran,andrew moran
143,Andrew Omobamidele,andrew omobamidele
144,Andrew Robertson,andrew robertson
145,Andrew Surman,andrew surman
146,Andrii Yarmolenko,andrii yarmolenko
147,Andriy Yarmolenko,andriy yarmolenko
148,Andros Townsend,andros townsend
149,Andy Carroll,andy carroll
150,Andy Lonergan,andy lonergan
151,Andy Robertson,andy robertson
