player_season_stats_id,player_id,season_id,position_id,appearances,clean_sheets,goals_conceded,tackles,tackle_success_pct,last_man_tackles,blocked_shots,interceptions,clearances,headed_clearances,clearances_off_line,recoveries,duels_won,duels_lost,successful_50_50s,aerial_battles_won,aerial_battles_lost,own_goals,errors_leading_to_goal,assists,passes,big_chances_created,crosses,cross_accuracy_pct,through_balls,accurate_long_balls,yellow_cards,red_cards,fouls,offsides,goals,headed_goals,goals_with_right_foot,goals_with_left_foot,hit_woodwork,penalties_scored,freekicks_scored,shots,shots_on_target,shooting_accuracy_pct,big_chances_missed,saves,penalties_saved,punches,high_claims,catches,sweeper_clearances,throw_outs,goal_kicks
1,1,3,4,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
2,1,4,4,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
3,1,5,4,24,,,7,,,13,0,3,2,,,,,,,,,,1,146,1,9,,,,0,0,16,14,3,0,3,0,0,0,0,38,14,37.00,5,,,,,,,,
4,1,6,4,17,,,6,,,4,0,1,1,,,,,,,,,,1,92,0,2,,,,0,0,6,8,2,0,2,0,0,0,0,23,9,39.00,5,,,,,,,,
5,1,7,4,4,,,0,,,1,0,0,0,,,,,,,,,,0,19,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0.00,1,,,,,,,,
6,2,1,2,37,11,50,38,61.00,0,10,70,88,41,1,168,121,109,12,40,34,0,3,4,1377,4,121,26.00,1,115,1,0,22,1,2,0,0,2,1,,,,,,,,,,,,,,
7,2,2,2,26,4,35,21,71.00,0,4,25,61,27,0,101,74,88,9,36,33,0,1,2,758,4,97,18.00,0,57,2,1,11,4,0,0,0,0,0,,,,,,,,,,,,,,
8,2,3,2,36,10,60,34,62.00,0,6,44,110,67,0,149,111,104,5,57,48,0,0,7,1299,5,196,18.00,3,98,7,0,20,3,1,0,0,1,2,,,,,,,,,,,,,,
9,2,4,2,20,1,26,29,55.00,1,3,23,42,23,0,85,72,45,6,25,18,0,0,1,812,1,75,21.00,0,29,1,0,2,1,0,0,0,0,0,,,,,,,,,,,,,,
10,2,5,2,31,5,51,43,60.00,0,3,35,59,30,1,172,116,111,11,45,40,0,0,0,1251,4,127,20.00,0,67,7,0,16,2,3,0,1,2,0,,,,,,,,,,,,,,
11,3,1,3,25,,,35,71.00,,3,8,15,2,,55,83,63,26,1,4,,0,0,477,1,34,21.00,0,13,1,0,13,1,5,0,5,0,0,0,0,18,11,61.00,1,,,,,,,,
12,3,2,3,11,,,13,92.00,,3,3,9,1,,25,19,17,3,0,5,,0,1,134,1,11,18.00,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0.00,0,,,,,,,,
13,3,3,3,29,,,37,65.00,,7,19,16,3,,82,81,127,15,12,19,,0,2,468,1,38,18.00,0,8,2,0,21,1,0,0,0,0,1,0,0,14,5,36.00,0,,,,,,,,
14,3,4,3,16,,,26,62.00,,1,10,12,2,,45,50,53,7,2,12,,0,1,277,0,24,13.00,1,4,1,0,12,0,1,0,0,1,0,0,0,4,2,50.00,1,,,,,,,,
15,3,5,3,16,,,14,57.00,,0,8,3,0,,24,26,29,3,2,9,,0,0,118,0,8,13.00,0,2,4,0,10,0,0,0,0,0,0,0,0,1,0,0.00,0,,,,,,,,
16,3,7,3,28,,,33,52.00,,4,9,8,0,,73,73,94,13,7,21,,0,0,336,0,40,8.00,0,7,2,0,19,4,2,0,2,0,0,0,0,12,4,33.00,0,,,,,,,,
17,4,2,3,0,,,0,0.00,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
18,4,3,3,36,,,102,59.00,,15,38,48,9,,266,166,160,16,33,39,,0,3,1902,5,185,20.00,4,102,5,0,26,2,4,0,2,2,1,1,0,29,7,24.00,0,,,,,,,,
19,4,4,3,29,,,62,68.00,,14,15,21,7,,204,110,139,22,15,27,,0,1,1278,4,137,29.00,2,61,4,0,26,1,3,0,3,0,1,1,1,43,14,33.00,0,,,,,,,,
20,4,5,3,31,,,37,65.00,,8,23,27,10,,134,101,132,38,15,25,,0,2,970,4,109,21.00,4,43,1,1,13,0,2,0,1,1,0,0,0,33,8,24.00,3,,,,,,,,
21,4,6,3,0,,,0,0.00,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
22,5,5,2,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
23,6,7,4,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
24,7,2,1,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,0,0,0,0,0,0,0,0
25,7,3,1,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,0,0,0,0,0,0,0,0
26,7,4,1,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,0,0,0,0,0,0,0,0
27,7,5,1,37,5,62,,,,,,,,,,,,,,,0,1,1,945,,,,,203,0,0,0,,0,,,,,,,,,,,129,1,17,20,6,13,185,288
28,7,6,1,38,5,63,,,,,,,,,,,,,,,0,2,0,1019,,,,,281,1,0,1,,0,,,,,,,,,,,147,0,12,23,9,13,128,281
29,7,7,1,34,12,39,,,,,,,,,,,,,,,0,0,0,1010,,,,,159,1,0,0,,0,,,,,,,,,,,90,0,12,22,3,21,162,181
30,8,1,3,31,,,78,76.00,,23,56,20,8,,248,190,229,39,27,26,,0,4,2154,3,50,24.00,20,58,4,0,47,5,5,0,5,0,2,0,0,69,21,30.00,9,,,,,,,,
31,8,2,3,23,,,21,48.00,,13,11,14,3,,93,68,77,20,7,10,,0,4,920,7,19,11.00,3,26,3,0,15,2,1,0,1,0,0,0,0,42,12,29.00,2,,,,,,,,
32,8,3,3,24,,,35,77.00,,11,24,6,4,,128,107,122,29,10,16,,0,8,1239,9,17,18.00,10,43,0,0,28,0,7,0,6,1,2,0,0,56,25,45.00,6,,,,,,,,
33,8,4,3,28,,,34,53.00,,11,9,3,1,,89,79,96,12,13,21,,0,6,773,2,15,33.00,5,26,0,0,21,4,4,0,1,3,0,0,0,33,13,39.00,2,,,,,,,,
34,8,5,3,0,,,0,0.00,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
35,9,4,3,2,,,1,,,0,1,1,0,,,,,,,,,,0,20,0,0,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
36,10,5,3,0,,,0,0.00,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
37,11,2,2,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
38,11,3,2,7,2,10,29,62.00,0,0,15,34,15,1,38,54,24,13,9,10,0,0,0,203,0,20,20.00,0,5,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
39,11,4,2,35,12,46,129,70.00,0,5,84,129,59,0,206,249,128,61,43,30,0,0,3,1165,4,56,21.00,1,34,4,1,23,2,0,0,0,0,0,,,,,,,,,,,,,,
40,11,5,2,35,11,33,129,62.00,0,2,66,58,26,0,179,226,148,54,24,35,0,0,4,1651,4,103,14.00,2,33,8,0,21,1,0,0,0,0,0,,,,,,,,,,,,,,
41,11,6,2,34,13,36,88,61.00,1,1,62,61,32,0,182,174,126,34,38,37,0,0,4,1806,2,60,22.00,0,27,3,0,31,1,2,0,2,0,0,,,,,,,,,,,,,,
42,11,7,2,20,3,35,49,73.00,0,3,34,32,11,1,126,117,91,36,19,32,0,0,0,937,1,35,23.00,0,17,2,0,15,1,0,0,0,0,0,,,,,,,,,,,,,,
43,13,3,3,5,,,5,80.00,,3,1,2,0,,8,24,26,1,14,13,,0,1,98,0,1,0.00,0,2,1,0,4,1,0,0,0,0,0,0,0,5,0,0.00,0,,,,,,,,
44,13,4,3,2,,,2,50.00,,0,1,0,0,,2,3,1,0,0,1,,0,0,8,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
45,14,1,3,0,,,0,0.00,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
46,14,2,3,20,,,17,76.00,,7,21,22,6,,142,50,72,14,14,21,,0,0,833,0,5,20.00,0,24,4,0,12,0,1,0,1,0,0,0,0,22,8,36.00,1,,,,,,,,
47,14,3,3,37,,,79,66.00,,10,54,55,26,,345,188,203,41,43,52,,0,3,2244,1,26,23.00,2,84,10,0,44,2,7,0,5,1,1,0,0,47,17,36.00,1,,,,,,,,
48,14,4,3,35,,,71,54.00,,19,34,54,22,,257,156,174,32,41,37,,1,6,1942,8,11,18.00,5,59,7,0,36,2,5,2,2,1,0,0,0,52,17,33.00,5,,,,,,,,
49,14,5,3,37,,,64,47.00,,20,31,31,11,,270,174,206,40,55,57,,0,2,1678,6,29,17.00,0,41,9,0,51,6,4,0,4,0,1,0,0,61,12,20.00,4,,,,,,,,
50,14,6,3,29,,,52,62.00,,6,39,25,10,,186,123,108,21,38,20,,0,3,1341,2,9,11.00,3,38,6,0,23,0,2,1,0,1,0,0,0,18,5,28.00,1,,,,,,,,
51,14,7,3,30,,,75,57.00,,13,28,30,14,,213,147,156,21,35,37,,0,4,1083,3,11,9.00,3,31,6,0,39,1,2,0,2,0,1,0,0,34,11,32.00,1,,,,,,,,
52,17,2,4,24,,,7,,,6,3,3,1,,,,,,,,,,3,252,1,1,,,,0,0,19,11,4,1,1,2,0,0,0,39,18,46.00,2,,,,,,,,
53,18,4,4,13,,,8,,,0,1,5,2,,,,,,,,,,0,226,1,18,,,,2,0,24,7,3,0,3,0,0,1,0,21,10,48.00,4,,,,,,,,
54,18,6,4,11,,,2,,,1,1,0,0,,,,,,,,,,0,112,0,13,,,,1,1,9,0,0,0,0,0,0,0,0,4,2,50.00,1,,,,,,,,
55,20,3,3,0,,,0,0.00,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
56,20,4,3,0,,,0,0.00,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
57,20,5,3,0,,,0,0.00,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
58,20,7,2,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
59,21,1,4,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
60,21,2,4,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
61,21,3,4,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
62,21,4,4,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
63,21,5,4,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
64,21,7,4,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
65,22,1,4,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
66,22,3,4,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
67,22,7,4,23,,,10,,,16,3,6,6,,,,,,,,,,2,303,1,18,,,,1,0,13,2,2,0,1,1,0,0,0,47,14,30.00,4,,,,,,,,
68,23,1,1,2,0,4,,,,,,,,,,,,,,,0,1,0,39,,,,,11,0,0,0,,0,,,,,,,,,,,2,0,1,2,0,1,9,17
69,23,2,1,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,0,0,0,0,0,0,0,0
70,23,3,1,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,0,0,0,0,0,0,0,0
71,23,4,1,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,0,0,0,0,0,0,0,0
72,24,2,3,34,,,79,71.00,,3,66,40,15,,215,158,156,19,20,17,,1,2,1450,1,23,35.00,2,113,10,0,52,0,0,0,0,0,0,0,0,11,2,18.00,0,,,,,,,,
73,25,1,1,6,0,15,,,,,,,,,,,,,,,0,1,0,108,,,,,36,0,0,0,,0,,,,,,,,,,,13,0,4,3,2,2,22,31
74,25,2,1,2,1,3,,,,,,,,,,,,,,,0,0,0,54,,,,,16,1,0,0,,0,,,,,,,,,,,5,0,1,1,0,1,11,26
75,25,3,1,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,0,0,0,0,0,0,0,0
76,25,4,1,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,0,0,0,0,0,0,0,0
77,26,2,3,34,,,62,69.00,,9,36,22,10,,176,133,169,22,17,41,,0,1,1353,3,51,20.00,8,99,4,0,33,1,0,0,0,0,0,0,0,28,6,21.00,2,,,,,,,,
78,26,6,3,0,,,0,0.00,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,
79,26,7,3,22,,,53,43.00,,4,19,12,4,,119,91,88,12,11,11,,1,1,826,0,5,0.00,6,53,5,0,26,2,0,0,0,0,0,0,0,14,4,29.00,0,,,,,,,,
