player_id,season_id,team_id,source_player_code,source_player_name
320,7,1,p101184,Calum Chambers
2021,7,1,p111457,Sead Kolasinac
1943,7,1,p115918,Rúnar Alex Rúnarsson
1515,7,1,p131897,Mat Ryan
1635,7,1,p153256,Mohamed Elneny
58,7,1,p154043,Ainsley Maitland-Niles
1896,7,1,p156074,Rob Holding
2169,7,1,p167199,Thomas Partey
455,7,1,p182539,Dani Ceballos
1498,7,1,p184029,Martin Ødegaard
1271,7,1,p192895,Kieran Tierney
1709,7,1,p195735,Nicolas Pépé
1390,7,1,p198849,Lucas Torreira
228,7,1,p198869,Ben White
1160,7,1,p200089,Joseph Willock
1869,7,1,p200641,Reiss Nelson
593,7,1,p205533,Eddie Nketiah
625,7,1,p209289,Emile Smith Rowe
185,7,1,p220682,Arthur Okonkwo
304,7,1,p223340,Bukayo Saka
2128,7,1,p223723,Takehiro Tomiyasu
7,7,1,p225321,Aaron Ramsdale
729,7,1,p226597,Gabriel Magalhães
709,7,1,p232223,Folarin Balogun
812,7,1,p232228,Harry Clarke
2237,7,1,p232233,Tyreece John-Jules
945,7,1,p233009,James Hillson
214,7,1,p235425,Ben Cottrell
1540,7,1,p242166,Mattéo Guendouzi
2205,7,1,p248852,Tom Smith
507,7,1,p41270,David Luiz
1723,7,1,p437626,Nuno Tavares
64,7,1,p437742,Albert Sambi Lokonga
1613,7,1,p439482,Miguel Azeez
730,7,1,p444145,Gabriel Martinelli
2307,7,1,p462424,William Saliba
1227,7,1,p463748,Karl Hein
1068,7,1,p463789,Joel Lopez Salguero
1752,7,1,p467750,Omar Rekik
2310,7,1,p47431,Willian
1753,7,1,p503301,Omari Hutchinson
1829,7,1,p54694,Pierre-Emerick Aubameyang
343,7,1,p58822,Cédric Soares
94,7,1,p59966,Alexandre Lacazette
247,7,1,p80201,Bernd Leno
788,7,1,p84450,Granit Xhaka
1772,7,1,p92371,Pablo Marí
832,7,1,p98745,Héctor Bellerín
256,7,2,p108156,Björn Engels
249,7,2,p110504,Bertrand Traoré
892,7,2,p114283,Jack Grealish
1647,7,2,p122775,Morgan Sanson
1085,7,2,p122806,John McGinn
1284,7,2,p123354,Kortney Hause
2226,7,2,p148508,Trézéguet
2242,7,2,p149484,Tyrone Mings
1538,7,2,p169359,Matt Targett
1747,7,2,p178301,Ollie Watkins
196,7,2,p180804,Axel Tuanzebe
1506,7,2,p184704,Marvelous Nakamba
191,7,2,p18892,Ashley Young
172,7,2,p193488,Anwar El Ghazi
626,7,2,p195546,Emiliano Buendía
1541,7,2,p199796,Matthew Cash
667,7,2,p199798,Ezri Konsa
724,7,2,p203368,Frédéric Guilbert
316,7,2,p209694,Callum Rowe
929,7,2,p209695,Jake Walker
2201,7,2,p21205,Tom Heaton
2287,7,2,p213345,Wesley
1331,7,2,p215711,Leon Bailey
1578,7,2,p217487,Mbwana Samatta
1241,7,2,p221239,Keinan Davis
866,7,2,p223349,Indiana Vassilev
579,7,2,p230046,Douglas Luiz
1659,7,2,p232616,Mungo Bridge
912,7,2,p232653,Jacob Ramsey
1604,7,2,p232654,Michael Tait
2262,7,2,p248164,Viljami Sinisalo
807,7,2,p248855,Harrison Sohna
53,7,2,p37339,Ahmed El Mohamady
834,7,2,p40564,Henri Lansbury
830,7,2,p432713,Hayden Lindley
322,7,2,p433979,Cameron Archer
8,7,2,p447715,Aaron Ramsey
1376,7,2,p465387,Louie Barry
1213,7,2,p465390,Kaine Hayden
61,7,2,p468456,Akos Onodi
1698,7,2,p47390,Neil Taylor
269,7,2,p475495,Brad Young
340,7,2,p478912,Carney Chukwuemeka
915,7,2,p481624,Jaden Philogene-Bidace
237,7,2,p487835,Benjamin Chrisene
176,7,2,p490117,Arjan Raikhy
604,7,2,p500279,Edward Rowe
716,7,2,p502977,Frankie Ealing
2066,7,2,p514287,Sil Swinkels
2140,7,2,p514292,Taylor Jay-Hart
1305,7,2,p515597,Lamare Bogarde
1745,7,2,p516159,Oliwier Zych
1007,7,2,p79852,Jed Steer
489,7,2,p84939,Danny Ings
418,7,2,p85242,Conor Hourihane
1379,7,2,p88175,Lovre Kalinic
1932,7,2,p88894,Ross Barkley
628,7,2,p98980,Emiliano Martínez
1074,7,4,p105518,Joel Valencia
1201,7,4,p121570,Julian Jeanvier
384,7,4,p128295,Christian Nørgaard
627,7,4,p133845,Emiliano Marcondes
881,7,4,p144485,Ivan Toney
2134,7,4,p154138,Tariqe Fosu-Henry
515,7,4,p154561,David Raya
2039,7,4,p174932,Sergi Canós
1166,7,4,p183656,Josh Dasilva
1287,7,4,p191866,Kristoffer Ajer
1891,7,4,p194010,Rico Henry
2268,7,4,p204580,Vitaly Janelt
1995,7,4,p205836,Saman Ghoddos
1525,7,4,p207283,Mathias Jensen
357,7,4,p213687,Charlie Goode
1466,7,4,p216620,Marcus Forss
2338,7,4,p216646,Yoane Wissa
1780,7,4,p220695,Paris Maghoma
1429,7,4,p226956,Mads Roerslev
1398,7,4,p226961,Luka Racic
658,7,4,p231065,Ethan Pinnock
574,7,4,p232247,Dominic Thompson
1684,7,4,p232522,Nathan Shepperd
612,7,4,p235448,Ellery Balcombe
1224,7,4,p235644,Kane O'Connor
119,7,4,p240796,Álvaro Fernández
6,7,4,p248520,Aaron Pressley
1410,7,4,p38219,Luke Daniels
978,7,4,p420922,Jan Zamburek
715,7,4,p428580,Frank Onyeka
2045,7,4,p432160,Shandon Baptiste
1789,7,4,p434024,Patrik Gunnarsson
802,7,4,p434662,Halil Dervisoglu
80,7,4,p438659,Alex Gilbert
301,7,4,p446008,Bryan Mbeumo
1661,7,4,p450539,Myles Peart-Harris
700,7,4,p450550,Finley Stevens
884,7,4,p456840,Jaakko Oksanen
1350,7,4,p461173,Lewis Gordon
1428,7,4,p481405,Mads Bidstrup
2315,7,4,p48717,Winston Reid
2352,7,4,p48760,Zanka
837,7,4,p60479,Henrik Dalsgaard
1833,7,4,p61810,Pontus Jansson
1209,7,5,p106757,Jürgen Locadia
387,7,5,p108813,Christian Walton
2078,7,5,p109345,Solly March
37,7,5,p110735,Adam Webster
1075,7,5,p111478,Joël Veltman
1694,7,5,p115382,Neal Maupay
1318,7,5,p116216,Leandro Trossard
1515,7,5,p131897,Mat Ryan
107,7,5,p165210,Alireza Jahanbakhsh
1148,7,5,p167473,José Izquierdo
1542,7,5,p178173,Matthew Clarke
1444,7,5,p179268,Marc Cucurella
228,7,5,p198869,Ben White
127,7,5,p204676,Andi Zeqiri
