source_player_code,source_club_code,source_season,source_player_name,source_club_name
p101184,120,2021/2022,Calum Chambers,Arsenal
p111457,120,2021/2022,Sead Kolasinac,Arsenal
p115918,120,2021/2022,Rúnar Alex Rúnarsson,Arsenal
p131897,120,2021/2022,Mat Ryan,Arsenal
p153256,120,2021/2022,Mohamed Elneny,Arsenal
p154043,120,2021/2022,Ainsley Maitland-Niles,Arsenal
p156074,120,2021/2022,Rob Holding,Arsenal
p167199,120,2021/2022,Thomas Partey,Arsenal
p182539,120,2021/2022,Dani Ceballos,Arsenal
p184029,120,2021/2022,Martin Ødegaard,Arsenal
p192895,120,2021/2022,Kieran Tierney,Arsenal
p195735,120,2021/2022,Nicolas Pépé,Arsenal
p198849,120,2021/2022,Lucas Torreira,Arsenal
p198869,120,2021/2022,Ben White,Arsenal
p200089,120,2021/2022,Joseph Willock,Arsenal
p200641,120,2021/2022,Reiss Nelson,Arsenal
p205533,120,2021/2022,Eddie Nketiah,Arsenal
p209289,120,2021/2022,Emile Smith Rowe,Arsenal
p220682,120,2021/2022,Arthur Okonkwo,Arsenal
p223340,120,2021/2022,Bukayo Saka,Arsenal
p223723,120,2021/2022,Takehiro Tomiyasu,Arsenal
p225321,120,2021/2022,Aaron Ramsdale,Arsenal
p226597,120,2021/2022,Gabriel Magalhães,Arsenal
p232223,120,2021/2022,Folarin Balogun,Arsenal
p232228,120,2021/2022,Harry Clarke,Arsenal
p232233,120,2021/2022,Tyreece John-Jules,Arsenal
p233009,120,2021/2022,James Hillson,Arsenal
p235425,120,2021/2022,Ben Cottrell,Arsenal
p242166,120,2021/2022,Mattéo Guendouzi,Arsenal
p248852,120,2021/2022,Tom Smith,Arsenal
p41270,120,2021/2022,David Luiz,Arsenal
p437626,120,2021/2022,Nuno Tavares,Arsenal
p437742,120,2021/2022,Albert Sambi Lokonga,Arsenal
p439482,120,2021/2022,Miguel Azeez,Arsenal
p444145,120,2021/2022,Gabriel Martinelli,Arsenal
p462424,120,2021/2022,William Saliba,Arsenal
p463748,120,2021/2022,Karl Hein,Arsenal
p463789,120,2021/2022,Joel Lopez Salguero,Arsenal
p467750,120,2021/2022,Omar Rekik,Arsenal
p47431,120,2021/2022,Willian,Arsenal
p503301,120,2021/2022,Omari Hutchinson,Arsenal
p514307,120,2021/2022,Jack Francis,Arsenal
p54694,120,2021/2022,Pierre-Emerick Aubameyang,Arsenal
p58822,120,2021/2022,Cédric Soares,Arsenal
p59966,120,2021/2022,Alexandre Lacazette,Arsenal
p80201,120,2021/2022,Bernd Leno,Arsenal
p84450,120,2021/2022,Granit Xhaka,Arsenal
p92371,120,2021/2022,Pablo Marí,Arsenal
p98745,120,2021/2022,Héctor Bellerín,Arsenal
p108156,121,2021/2022,Björn Engels,Aston Villa
p110504,121,2021/2022,Bertrand Traoré,Aston Villa
p114283,121,2021/2022,Jack Grealish,Aston Villa
p122775,121,2021/2022,Morgan Sanson,Aston Villa
p122806,121,2021/2022,John McGinn,Aston Villa
p123354,121,2021/2022,Kortney Hause,Aston Villa
p148508,121,2021/2022,Trézéguet,Aston Villa
p149484,121,2021/2022,Tyrone Mings,Aston Villa
p169359,121,2021/2022,Matt Targett,Aston Villa
p178301,121,2021/2022,Ollie Watkins,Aston Villa
p180804,121,2021/2022,Axel Tuanzebe,Aston Villa
p184704,121,2021/2022,Marvelous Nakamba,Aston Villa
p18892,121,2021/2022,Ashley Young,Aston Villa
p193488,121,2021/2022,Anwar El Ghazi,Aston Villa
p195546,121,2021/2022,Emiliano Buendía,Aston Villa
p199796,121,2021/2022,Matthew Cash,Aston Villa
p199798,121,2021/2022,Ezri Konsa,Aston Villa
p203368,121,2021/2022,Frédéric Guilbert,Aston Villa
p209694,121,2021/2022,Callum Rowe,Aston Villa
p209695,121,2021/2022,Jake Walker,Aston Villa
p21205,121,2021/2022,Tom Heaton,Aston Villa
p213345,121,2021/2022,Wesley,Aston Villa
p215711,121,2021/2022,Leon Bailey,Aston Villa
p217487,121,2021/2022,Mbwana Samatta,Aston Villa
p221239,121,2021/2022,Keinan Davis,Aston Villa
p223349,121,2021/2022,Indiana Vassilev,Aston Villa
p230046,121,2021/2022,Douglas Luiz,Aston Villa
p232616,121,2021/2022,Mungo Bridge,Aston Villa
p232653,121,2021/2022,Jacob Ramsey,Aston Villa
p232654,121,2021/2022,Michael Tait,Aston Villa
p248164,121,2021/2022,Viljami Sinisalo,Aston Villa
p248855,121,2021/2022,Harrison Sohna,Aston Villa
p37339,121,2021/2022,Ahmed El Mohamady,Aston Villa
p40564,121,2021/2022,Henri Lansbury,Aston Villa
p432713,121,2021/2022,Hayden Lindley,Aston Villa
p433979,121,2021/2022,Cameron Archer,Aston Villa
p447715,121,2021/2022,Aaron Ramsey,Aston Villa
p465387,121,2021/2022,Louie Barry,Aston Villa
p465390,121,2021/2022,Kaine Hayden,Aston Villa
p468456,121,2021/2022,Akos Onodi,Aston Villa
p47390,121,2021/2022,Neil Taylor,Aston Villa
p475495,121,2021/2022,Brad Young,Aston Villa
p478912,121,2021/2022,Carney Chukwuemeka,Aston Villa
p481624,121,2021/2022,Jaden Philogene-Bidace,Aston Villa
p487835,121,2021/2022,Benjamin Chrisene,Aston Villa
p490117,121,2021/2022,Arjan Raikhy,Aston Villa
p500279,121,2021/2022,Edward Rowe,Aston Villa
p502977,121,2021/2022,Frankie Ealing,Aston Villa
p503159,121,2021/2022,Caleb Chukwuemeka,Aston Villa
p514287,121,2021/2022,Sil Swinkels,Aston Villa
p514292,121,2021/2022,Taylor Jay-Hart,Aston Villa
p515597,121,2021/2022,Lamare Bogarde,Aston Villa
p516159,121,2021/2022,Oliwier Zych,Aston Villa
p79852,121,2021/2022,Jed Steer,Aston Villa
p84939,121,2021/2022,Danny Ings,Aston Villa
p85242,121,2021/2022,Conor Hourihane,Aston Villa
p88175,121,2021/2022,Lovre Kalinic,Aston Villa
p88894,121,2021/2022,Ross Barkley,Aston Villa
p98980,121,2021/2022,Emiliano Martínez,Aston Villa
p105518,129,2021/2022,Joel Valencia,Brentford
p121570,129,2021/2022,Julian Jeanvier,Brentford
p128295,129,2021/2022,Christian Nørgaard,Brentford
p133845,129,2021/2022,Emiliano Marcondes,Brentford
p144485,129,2021/2022,Ivan Toney,Brentford
p154138,129,2021/2022,Tariqe Fosu-Henry,Brentford
p154561,129,2021/2022,David Raya,Brentford
p174932,129,2021/2022,Sergi Canós,Brentford
p183656,129,2021/2022,Josh Dasilva,Brentford
p191866,129,2021/2022,Kristoffer Ajer,Brentford
p194010,129,2021/2022,Rico Henry,Brentford
p204580,129,2021/2022,Vitaly Janelt,Brentford
p205836,129,2021/2022,Saman Ghoddos,Brentford
p207283,129,2021/2022,Mathias Jensen,Brentford
p213687,129,2021/2022,Charlie Goode,Brentford
p216620,129,2021/2022,Marcus Forss,Brentford
p216646,129,2021/2022,Yoane Wissa,Brentford
p220695,129,2021/2022,Paris Maghoma,Brentford
p226956,129,2021/2022,Mads Roerslev,Brentford
p226961,129,2021/2022,Luka Racic,Brentford
p228044,129,2021/2022,Mads Bech Sørensen,Brentford
p231065,129,2021/2022,Ethan Pinnock,Brentford
p232247,129,2021/2022,Dominic Thompson,Brentford
p232522,129,2021/2022,Nathan Shepperd,Brentford
p235448,129,2021/2022,Ellery Balcombe,Brentford
p235644,129,2021/2022,Kane O'Connor,Brentford
p240796,129,2021/2022,Álvaro Fernández,Brentford
p248520,129,2021/2022,Aaron Pressley,Brentford
p38219,129,2021/2022,Luke Daniels,Brentford
p420922,129,2021/2022,Jan Zamburek,Brentford
p428580,129,2021/2022,Frank Onyeka,Brentford
p432160,129,2021/2022,Shandon Baptiste,Brentford
p434024,129,2021/2022,Patrik Gunnarsson,Brentford
p434662,129,2021/2022,Halil Dervisoglu,Brentford
p438659,129,2021/2022,Alex Gilbert,Brentford
p446008,129,2021/2022,Bryan Mbeumo,Brentford
p450539,129,2021/2022,Myles Peart-Harris,Brentford
p450550,129,2021/2022,Finley Stevens,Brentford
p456840,129,2021/2022,Jaakko Oksanen,Brentford
p461173,129,2021/2022,Lewis Gordon,Brentford
p461558,129,2021/2022,Maxwell Haygarth,Brentford
p481405,129,2021/2022,Mads Bidstrup,Brentford
p48717,129,2021/2022,Winston Reid,Brentford
p48760,129,2021/2022,Zanka,Brentford
p60479,129,2021/2022,Henrik Dalsgaard,Brentford
p61810,129,2021/2022,Pontus Jansson,Brentford
p106757,130,2021/2022,Jürgen Locadia,Brighton and Hove Albion
p108813,130,2021/2022,Christian Walton,Brighton and Hove Albion
p109345,130,2021/2022,Solly March,Brighton and Hove Albion
p110735,130,2021/2022,Adam Webster,Brighton and Hove Albion
p111478,130,2021/2022,Joël Veltman,Brighton and Hove Albion
p115382,130,2021/2022,Neal Maupay,Brighton and Hove Albion
p116216,130,2021/2022,Leandro Trossard,Brighton and Hove Albion
p131897,130,2021/2022,Mat Ryan,Brighton and Hove Albion
p165210,130,2021/2022,Alireza Jahanbakhsh,Brighton and Hove Albion
p167473,130,2021/2022,José Izquierdo,Brighton and Hove Albion
p178173,130,2021/2022,Matthew Clarke,Brighton and Hove Albion
p179268,130,2021/2022,Marc Cucurella,Brighton and Hove Albion
p198869,130,2021/2022,Ben White,Brighton and Hove Albion
p204676,130,2021/2022,Andi Zeqiri,Brighton and Hove Albion
p20529,130,2021/2022,Glenn Murray,Brighton and Hove Albion
p207025,130,2021/2022,Jan Mlakar,Brighton and Hove Albion
p209045,130,2021/2022,Taylor Richards,Brighton and Hove Albion
p209288,130,2021/2022,Thomas McGill,Brighton and Hove Albion
p209362,130,2021/2022,Bernardo,Brighton and Hove Albion
p213056,130,2021/2022,Tudor Baluta,Brighton and Hove Albion
p215059,130,2021/2022,Robert Sánchez,Brighton and Hove Albion
p215066,130,2021/2022,Alex Cochrane,Brighton and Hove Albion
p220738,130,2021/2022,Jayson Molumby,Brighton and Hove Albion
p224117,130,2021/2022,Viktor Gyökeres,Brighton and Hove Albion
p227127,130,2021/2022,Yves Bissouma,Brighton and Hove Albion
p230127,130,2021/2022,Percy Tau,Brighton and Hove Albion
p232792,130,2021/2022,Tariq Lamptey,Brighton and Hove Albion
p233425,130,2021/2022,Aaron Connolly,Brighton and Hove Albion
p235382,130,2021/2022,Steven Alzate,Brighton and Hove Albion
p240514,130,2021/2022,Kjell Scherpen,Brighton and Hove Albion
p243016,130,2021/2022,Alexis Mac Allister,Brighton and Hove Albion
p243505,130,2021/2022,Jakub Moder,Brighton and Hove Albion
p244848,130,2021/2022,Teddy Jenks,Brighton and Hove Albion
p39155,130,2021/2022,Adam Lallana,Brighton and Hove Albion
p423649,130,2021/2022,Enock Mwepu,Brighton and Hove Albion
p433138,130,2021/2022,Marc Leonard,Brighton and Hove Albion
