source_file,season_name,player_name,position_name,appearances,clean_sheets,goals_conceded,tackles,tackle_success_pct,last_man_tackles,blocked_shots,interceptions,clearances,headed_clearances,clearances_off_line,recoveries,duels_won,duels_lost,successful_50_50s,aerial_battles_won,aerial_battles_lost,own_goals,errors_leading_to_goal,assists,passes,passes_per_match,big_chances_created,crosses,cross_accuracy_pct,through_balls,accurate_long_balls,yellow_cards,red_cards,fouls,offsides,goals,headed_goals,goals_with_right_foot,goals_with_left_foot,hit_woodwork,goals_per_match,penalties_scored,freekicks_scored,shots,shots_on_target,shooting_accuracy_pct,big_chances_missed,saves,penalties_saved,punches,high_claims,catches,sweeper_clearances,throw_outs,goal_kicks
pl_15-16.csv,2015/16,Rolando Aarons,Midfielder,10,,,13,77%,,0,6,10,5,,23,29,34,5,4,6,,1,1,119,11.90,1,12,25%,0,7,1,0,9,0,1,0,0,1,0,0.10,0,0,2,1,50%,0,,,,,,,,
pl_15-16.csv,2015/16,Almen Abdi,Midfielder,32,,,83,78%,,10,32,24,9,,137,140,153,12,22,31,,0,0,938,29.31,4,55,31%,2,36,4,0,38,1,2,0,2,0,1,0.06,0,1,39,10,26%,1,,,,,,,,
pl_15-16.csv,2015/16,Abdul Rahman Baba,Defender,15,2,13,47,83%,0,1,23,32,13,1,76,67,65,8,8,13,0,1,1,526,35.07,0,31,16%,0,18,1,0,14,2,0,0,0,0,0,,,,,,,,,,,,,,,
pl_15-16.csv,2015/16,Mehdi Abeid,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
pl_15-16.csv,2015/16,Tammy Abraham,Forward,2,,,0,,,1,0,0,0,,,,,,,,,,0,10,5.00,0,2,,,,0,0,2,3,0,0,0,0,0,0.00,0,0,2,0,0%,0,,,,,,,,
pl_15-16.csv,2015/16,Charlie Adam,Midfielder,22,,,18,78%,,9,12,14,10,,73,68,76,10,17,10,,0,1,546,24.82,1,40,30%,1,68,6,1,30,0,1,0,1,0,0,0.05,0,0,29,4,14%,0,,,,,,,,
pl_15-16.csv,2015/16,Emmanuel Adebayor,Forward,12,,,2,,,2,1,7,4,,,,,,,,,,1,230,19.17,0,6,,,,1,0,10,11,1,1,0,0,1,0.08,0,0,12,4,33%,2,,,,,,,,
pl_15-16.csv,2015/16,Adrián,Goalkeeper,32,9,39,,,,,,,,,,,,,,,0,2,0,853,26.66,,,,,275,1,1,1,,0,,,,,,,,,,,,99,2,19,40,11,31,155,288
pl_15-16.csv,2015/16,Ibrahim Afellay,Midfielder,31,,,27,81%,,10,11,12,5,,162,117,110,41,14,16,,0,2,"1,274",41.10,3,68,16%,3,68,3,1,19,2,2,1,1,0,0,0.06,0,0,39,8,21%,1,,,,,,,,
pl_15-16.csv,2015/16,Benik Afobe,Forward,15,,,5,,,2,2,9,6,,,,,,,,,,0,224,14.93,0,4,,,,0,0,15,9,4,3,1,0,0,0.27,0,0,14,5,36%,4,,,,,,,,
pl_15-16.csv,2015/16,Gabriel Agbonlahor,Forward,15,,,6,,,2,2,9,1,,,,,,,,,,2,223,14.87,2,12,,,,0,0,21,3,1,0,0,1,0,0.07,0,0,10,6,60%,1,,,,,,,,
pl_15-16.csv,2015/16,Sergio Agüero,Forward,30,,,15,,,26,6,0,0,,,,,,,,,,2,727,24.23,5,20,,,,1,0,20,27,24,5,16,3,4,0.80,4,0,119,52,44%,16,,,,,,,,
pl_15-16.csv,2015/16,Nathan Aké,Defender,24,7,24,79,67%,0,3,76,72,26,1,80,135,73,10,34,25,0,0,0,609,25.38,1,42,12%,0,30,4,1,28,0,1,0,0,1,1,,,,,,,,,,,,,,,
pl_15-16.csv,2015/16,Chuba Akpom,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
pl_15-16.csv,2015/16,Alberto Moreno,Defender,32,6,36,92,75%,1,13,63,48,9,0,138,143,122,16,14,15,0,0,4,"1,323",41.34,3,138,26%,1,85,3,0,29,6,1,0,0,1,1,,,,,,,,,,,,,,,
pl_15-16.csv,2015/16,Marc Albrighton,Midfielder,38,,,65,83%,,14,49,19,4,,214,154,172,51,11,38,,0,6,912,24.00,11,272,19%,4,57,4,0,21,3,2,0,1,1,1,0.05,0,0,42,11,26%,2,,,,,,,,
pl_15-16.csv,2015/16,Toby Alderweireld,Defender,38,13,35,45,71%,0,8,66,285,125,1,161,116,74,7,59,39,0,0,2,"2,076",54.63,1,16,13%,2,238,3,0,9,1,4,3,0,1,0,,,,,,,,,,,,,,,
pl_15-16.csv,2015/16,Aleix García,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
pl_15-16.csv,2015/16,Trent Alexander-Arnold,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
pl_15-16.csv,2015/16,Alexandre Pato,Forward,2,,,3,,,0,0,1,1,,,,,,,,,,0,27,13.50,0,0,,,,0,0,2,2,1,0,1,0,0,0.50,1,0,4,2,50%,2,,,,,,,,
pl_15-16.csv,2015/16,Allan,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
pl_15-16.csv,2015/16,Joe Allen,Midfielder,19,,,28,68%,,3,14,8,3,,73,59,56,7,3,11,,0,1,410,21.58,1,5,40%,2,19,0,0,14,0,2,0,2,0,0,0.11,0,0,12,4,33%,1,,,,,,,,
pl_15-16.csv,2015/16,Dele Alli,Midfielder,33,,,71,75%,,27,61,32,18,,175,203,272,30,37,44,,0,9,"1,083",32.82,11,19,21%,18,26,7,0,50,6,10,1,9,0,3,0.30,0,0,74,28,38%,6,,,,,,,,
pl_15-16.csv,2015/16,Ryan Allsop,Goalkeeper,1,0,1,,,,,,,,,,,,,,,0,0,0,8,8.00,,,,,1,0,0,0,,0,,,,,,,,,,,,0,0,0,1,0,0,2,2
pl_15-16.csv,2015/16,Morgan Amalfitano,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
pl_15-16.csv,2015/16,Daniel Amartey,Defender,5,0,2,1,100%,0,0,2,2,0,0,7,4,6,1,2,3,0,0,0,66,13.20,0,0,0%,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
