app_match_id,statsbomb_match_id,match_date,home_team,away_team,season,method
53,3754217,2015-09-19,chelsea,arsenal,2015/2016,exact_key
157,3754117,2015-12-13,aston villa,arsenal,2015/2016,exact_key
170,3754296,2015-12-21,arsenal,man city,2015/2016,exact_key
105,3753983,2015-10-31,swansea,arsenal,2015/2016,exact_key
141,3754160,2015-12-05,arsenal,sunderland,2015/2016,exact_key
30,3754129,2015-08-24,arsenal,liverpool,2015/2016,exact_key
177,3754309,2015-12-26,southampton,arsenal,2015/2016,exact_key
137,3754047,2015-11-29,liverpool,swansea,2015/2016,exact_key
192,3754058,2016-01-02,leicester,bournemouth,2015/2016,exact_key
88,3754245,2015-10-17,west brom,sunderland,2015/2016,exact_key
164,3754136,2015-12-19,newcastle,aston villa,2015/2016,exact_key
348,3754037,2016-04-30,everton,bournemouth,2015/2016,exact_key
253,3754039,2016-02-13,crystal palace,watford,2015/2016,exact_key
371,3754041,2016-05-15,arsenal,aston villa,2015/2016,exact_key
379,3754042,2016-05-15,west brom,liverpool,2015/2016,exact_key
303,3754043,2016-03-20,tottenham,bournemouth,2015/2016,exact_key
189,3754045,2015-12-29,leicester,man city,2015/2016,exact_key
324,3754048,2016-04-13,crystal palace,everton,2015/2016,exact_key
261,3754049,2016-02-27,leicester,norwich,2015/2016,exact_key
273,3754050,2016-03-01,sunderland,crystal palace,2015/2016,exact_key
299,3754052,2016-03-19,west brom,norwich,2015/2016,exact_key
292,3754053,2016-03-13,aston villa,tottenham,2015/2016,exact_key
368,3754055,2016-05-11,liverpool,chelsea,2015/2016,exact_key
190,3754226,2015-12-30,sunderland,liverpool,2015/2016,exact_key
178,3754014,2015-12-26,stoke,man united,2015/2016,exact_key
95,3754091,2015-10-24,stoke,watford,2015/2016,exact_key
145,3754135,2015-12-05,stoke,man city,2015/2016,exact_key
115,3754293,2015-11-07,stoke,chelsea,2015/2016,exact_key
66,3754339,2015-09-26,stoke,bournemouth,2015/2016,exact_key
56,3754146,2015-09-19,stoke,leicester,2015/2016,exact_key
143,3754347,2015-12-05,man united,west ham,2015/2016,exact_key
158,3754255,2015-12-13,liverpool,west brom,2015/2016,exact_key
72,3754278,2015-10-03,bournemouth,watford,2015/2016,exact_key
130,3753979,2015-11-23,crystal palace,sunderland,2015/2016,exact_key
126,3753972,2015-11-21,swansea,bournemouth,2015/2016,exact_key
65,3753978,2015-09-26,southampton,swansea,2015/2016,exact_key
176,3753974,2015-12-26,newcastle,everton,2015/2016,exact_key
13,3753993,2015-08-15,sunderland,norwich,2015/2016,exact_key
99,3754015,2015-10-25,man united,man city,2015/2016,exact_key
138,3754038,2015-11-29,norwich,arsenal,2015/2016,exact_key
64,3754001,2015-09-26,newcastle,chelsea,2015/2016,exact_key
37,3754007,2015-08-29,stoke,west brom,2015/2016,exact_key
63,3754008,2015-09-26,man united,sunderland,2015/2016,exact_key
110,3754029,2015-11-02,tottenham,aston villa,2015/2016,exact_key
73,3753995,2015-10-03,chelsea,southampton,2015/2016,exact_key
87,3753999,2015-10-17,watford,arsenal,2015/2016,exact_key
92,3754017,2015-10-24,aston villa,swansea,2015/2016,exact_key
107,3754006,2015-10-31,west brom,leicester,2015/2016,exact_key
32,3754023,2015-08-29,bournemouth,leicester,2015/2016,exact_key
34,3753984,2015-08-29,liverpool,west ham,2015/2016,exact_key
59,3754011,2015-09-20,southampton,man united,2015/2016,exact_key
55,3754010,2015-09-19,newcastle,watford,2015/2016,exact_key
135,3754028,2015-11-28,man city,southampton,2015/2016,exact_key
121,3753996,2015-11-21,chelsea,norwich,2015/2016,exact_key
161,3754025,2015-12-19,chelsea,sunderland,2015/2016,exact_key
51,3754068,2015-09-19,aston villa,west brom,2015/2016,exact_key
183,3754056,2015-12-28,everton,stoke,2015/2016,exact_key
58,3754040,2015-09-20,liverpool,norwich,2015/2016,exact_key
80,3754074,2015-10-04,swansea,tottenham,2015/2016,exact_key
77,3754076,2015-10-03,sunderland,west ham,2015/2016,exact_key
82,3754067,2015-10-17,crystal palace,west ham,2015/2016,exact_key
75,3754079,2015-10-03,man city,newcastle,2015/2016,exact_key
104,3754090,2015-10-31,newcastle,stoke,2015/2016,exact_key
33,3754083,2015-08-29,chelsea,crystal palace,2015/2016,exact_key
54,3754077,2015-09-19,man city,west ham,2015/2016,exact_key
79,3754060,2015-10-04,everton,liverpool,2015/2016,exact_key
142,3754073,2015-12-05,chelsea,bournemouth,2015/2016,exact_key
146,3754085,2015-12-05,swansea,leicester,2015/2016,exact_key
169,3754051,2015-12-20,watford,liverpool,2015/2016,exact_key
139,3754093,2015-11-29,tottenham,chelsea,2015/2016,exact_key
150,3754046,2015-12-07,everton,crystal palace,2015/2016,exact_key
155,3754072,2015-12-12,sunderland,watford,2015/2016,exact_key
108,3754082,2015-11-01,everton,sunderland,2015/2016,exact_key
48,3754106,2015-09-13,leicester,aston villa,2015/2016,exact_key
74,3754099,2015-10-03,crystal palace,west brom,2015/2016,exact_key
101,3754098,2015-10-31,chelsea,liverpool,2015/2016,exact_key
180,3754057,2015-12-26,tottenham,norwich,2015/2016,exact_key
8,3754112,2015-08-09,newcastle,southampton,2015/2016,exact_key
24,3754104,2015-08-22,norwich,stoke,2015/2016,exact_key
175,3754054,2015-12-26,man city,sunderland,2015/2016,exact_key
144,3754113,2015-12-05,southampton,aston villa,2015/2016,exact_key
11,3754107,2015-08-14,aston villa,man united,2015/2016,exact_key
70,3754105,2015-09-28,west brom,everton,2015/2016,exact_key
5,3754097,2015-08-08,man united,tottenham,2015/2016,exact_key
89,3754102,2015-10-18,newcastle,norwich,2015/2016,exact_key
81,3754115,2015-10-17,chelsea,aston villa,2015/2016,exact_key
49,3754148,2015-09-13,sunderland,tottenham,2015/2016,exact_key
52,3754169,2015-09-19,bournemouth,sunderland,2015/2016,exact_key
61,3754174,2015-09-26,leicester,arsenal,2015/2016,exact_key
127,3754185,2015-11-21,watford,man united,2015/2016,exact_key
151,3754162,2015-12-12,bournemouth,man united,2015/2016,exact_key
156,3754096,2015-12-12,west ham,stoke,2015/2016,exact_key
78,3754171,2015-10-04,arsenal,man united,2015/2016,exact_key
100,3754119,2015-10-25,sunderland,newcastle,2015/2016,exact_key
91,3754126,2015-10-24,arsenal,everton,2015/2016,exact_key
94,3754133,2015-10-24,norwich,west brom,2015/2016,exact_key
103,3754167,2015-10-31,man city,norwich,2015/2016,exact_key
10,3754145,2015-08-10,west brom,man city,2015/2016,exact_key
166,3754153,2015-12-19,stoke,crystal palace,2015/2016,exact_key
149,3754143,2015-12-06,newcastle,liverpool,2015/2016,exact_key
134,3754186,2015-11-28,leicester,man united,2015/2016,exact_key
185,3754130,2015-12-28,norwich,aston villa,2015/2016,exact_key
165,3754188,2015-12-19,southampton,tottenham,2015/2016,exact_key
131,3754178,2015-11-28,aston villa,watford,2015/2016,exact_key
132,3754157,2015-11-28,bournemouth,everton,2015/2016,exact_key
162,3754166,2015-12-19,everton,leicester,2015/2016,exact_key
124,3754211,2015-11-21,newcastle,leicester,2015/2016,exact_key
136,3754150,2015-11-28,sunderland,stoke,2015/2016,exact_key
152,3754218,2015-12-12,crystal palace,southampton,2015/2016,exact_key
36,3754205,2015-08-29,newcastle,arsenal,2015/2016,exact_key
40,3754221,2015-08-30,swansea,man united,2015/2016,exact_key
86,3754198,2015-10-17,tottenham,liverpool,2015/2016,exact_key
84,3754193,2015-10-17,man city,bournemouth,2015/2016,exact_key
60,3754222,2015-09-20,tottenham,crystal palace,2015/2016,exact_key
46,3754213,2015-09-12,watford,swansea,2015/2016,exact_key
62,3754212,2015-09-26,liverpool,aston villa,2015/2016,exact_key
102,3754223,2015-10-31,crystal palace,man united,2015/2016,exact_key
67,3754197,2015-09-26,tottenham,man city,2015/2016,exact_key
123,3754208,2015-11-21,man city,liverpool,2015/2016,exact_key
31,3754204,2015-08-29,aston villa,sunderland,2015/2016,exact_key
117,3754194,2015-11-07,west ham,everton,2015/2016,exact_key
167,3754219,2015-12-19,west brom,bournemouth,2015/2016,exact_key
23,3754254,2015-08-22,man united,newcastle,2015/2016,exact_key
98,3754230,2015-10-25,liverpool,southampton,2015/2016,exact_key
171,3754285,2015-12-26,aston villa,west ham,2015/2016,exact_key
27,3754233,2015-08-23,everton,man city,2015/2016,exact_key
15,3754270,2015-08-15,tottenham,stoke,2015/2016,exact_key
4,3754237,2015-08-08,leicester,sunderland,2015/2016,exact_key
42,3754257,2015-09-12,crystal palace,man city,2015/2016,exact_key
69,3754266,2015-09-27,watford,crystal palace,2015/2016,exact_key
83,3754256,2015-10-17,everton,man united,2015/2016,exact_key
96,3754288,2015-10-24,west ham,chelsea,2015/2016,exact_key
111,3754238,2015-11-07,bournemouth,newcastle,2015/2016,exact_key
90,3754269,2015-10-19,swansea,stoke,2015/2016,exact_key
97,3754234,2015-10-25,bournemouth,tottenham,2015/2016,exact_key
35,3754246,2015-08-29,man city,watford,2015/2016,exact_key
106,3754273,2015-10-31,watford,west ham,2015/2016,exact_key
93,3754263,2015-10-24,leicester,crystal palace,2015/2016,exact_key
38,3754268,2015-08-29,tottenham,everton,2015/2016,exact_key
147,3754286,2015-12-05,watford,norwich,2015/2016,exact_key
186,3754291,2015-12-28,watford,tottenham,2015/2016,exact_key
122,3754283,2015-11-21,everton,aston villa,2015/2016,exact_key
140,3754235,2015-11-29,west ham,west brom,2015/2016,exact_key
179,3754279,2015-12-26,swansea,west brom,2015/2016,exact_key
159,3754276,2015-12-13,tottenham,newcastle,2015/2016,exact_key
173,3754287,2015-12-26,chelsea,watford,2015/2016,exact_key
168,3754259,2015-12-20,swansea,west ham,2015/2016,exact_key
76,3754335,2015-10-03,norwich,leicester,2015/2016,exact_key
57,3754298,2015-09-19,swansea,everton,2015/2016,exact_key
45,3754315,2015-09-12,norwich,bournemouth,2015/2016,exact_key
71,3754330,2015-10-03,aston villa,stoke,2015/2016,exact_key
39,3754337,2015-08-30,southampton,norwich,2015/2016,exact_key
113,3754297,2015-11-07,man united,west brom,2015/2016,exact_key
128,3754301,2015-11-21,west brom,arsenal,2015/2016,exact_key
68,3754323,2015-09-26,west ham,norwich,2015/2016,exact_key
133,3754304,2015-11-28,crystal palace,newcastle,2015/2016,exact_key
114,3754311,2015-11-07,norwich,swansea,2015/2016,exact_key
153,3754328,2015-12-12,man city,swansea,2015/2016,exact_key
47,3754325,2015-09-12,west brom,southampton,2015/2016,exact_key
50,3754329,2015-09-14,west ham,newcastle,2015/2016,exact_key
85,3754302,2015-10-17,southampton,leicester,2015/2016,exact_key
160,3754013,2015-12-14,leicester,chelsea,2015/2016,exact_key
163,3754044,2015-12-19,man united,norwich,2015/2016,exact_key
120,3754351,2015-11-08,liverpool,crystal palace,2015/2016,exact_key
174,3754343,2015-12-26,liverpool,leicester,2015/2016,exact_key
129,3754109,2015-11-22,tottenham,west ham,2015/2016,exact_key
154,3754182,2015-12-12,norwich,everton,2015/2016,exact_key
41,3754240,2015-09-12,arsenal,stoke,2015/2016,exact_key
43,3754336,2015-09-12,everton,chelsea,2015/2016,exact_key
125,3754247,2015-11-21,southampton,stoke,2015/2016,exact_key
112,3754156,2015-11-07,leicester,watford,2015/2016,exact_key
118,3754265,2015-11-08,arsenal,tottenham,2015/2016,exact_key
116,3754000,2015-11-07,sunderland,southampton,2015/2016,exact_key
44,3754003,2015-09-12,man united,liverpool,2015/2016,exact_key
